Abbreviation,Blank,Category,Cluster Group,Country,Created Month,Created Year,Date Created,Title,Title of Channel,Type,Youtuber,Average Channel Age,Created Date,Gross tertiary education enrollment (%),Highest Monthly Earnings,Highest Yearly Earnings,Latitude,Longitude,Lowest Monthly Earnings,Lowest Yearly Earnings,Measure Correlation Formula ,Measure Formula,Population,Rank,Subscribers,Subscribers For Last 30 Days,Total Countries Represented,Unemployment rate,Uploads,Urban population,Video Views,Video Views For The Last 30 Days
IN,,Film & Animation,Cluster 3,India,Sep,2016,05-09-2016,Stubborn Facts,Stubborn Facts,Film & Animation,Stubborn Facts,8.706849315,5,28.1,3400,40200,20.593684,78.96288,209,2500,40200,17300000,1366417754,521,17300000,200000,1,5.36,287,471031528,902225615,837850
IN,,Entertainment,Cluster 3,India,Aug,2014,04-08-2014,Taarak Mehta Ka Ooltah Chashmah,Taarak Mehta Ka Ooltah Chashmah,Entertainment,Taarak Mehta Ka Ooltah Chashmah,10.797260274,4,28.1,1300000,15900000,20.593684,78.96288,83000,995800,15900000,17300000,1366417754,522,17300000,300000,1,5.36,4778,471031528,11371738047,331944000
AU,,Howto & Style,Cluster 4,Australia,Dec,2011,08-12-2011,HowToBasic,HowToBasic,Howto & Style,HowToBasic,13.454794521,8,113.1,62100,745200,-25.274398,133.775136,3900,46600,745200,17300000,25766605,523,17300000,200000,1,5.27,582,21844756,3684816159,15525000
US,,Science & Technology,Cluster 1,United States,Mar,2008,21-03-2008,Marques Brownlee,Marques Brownlee,Science & Technology,Marques Brownlee,17.172602740,21,88.2,209300,2500000,37.09024,-95.712891,13100,157000,2500000,17200000,328239523,525,17200000,100000,1,14.7,1567,270663028,3606912471,52325000
BR,,Music,Cluster 1,Brazil,Nov,2011,02-11-2011,Anitta,Anitta,Music,Anitta,13.553424658,2,51.3,290700,3500000,-14.235004,-51.92528,18200,218100,3500000,17200000,212559417,526,17200000,200000,1,12.08,138,183241641,7337212581,72684000
AU,,Education,Cluster 4,Australia,Sep,2014,11-09-2014,Jason Oo,Jason Oo,Education,Jason Vlogs,10.693150685,11,113.1,0.1,1,-25.274398,133.775136,0.01,0.08,1,17200000,25766605,527,17200000,200000,1,5.27,83,21844756,8903647480,25
AR,,Education,Cluster 4,Argentina,Mar,2015,03-03-2015,El Reino a Jugar,El Reino a Jugar,Education,El Reino a Jugar,10.219178082,3,90,334800,4000000,-38.416097,-63.616672,20900,251100,4000000,17200000,44938712,528,17200000,100000,1,9.79,1007,41339571,11445492404,83709000
ES,,Gaming,Cluster 1,Spain,Aug,2009,09-08-2009,Willyrex,Willyrex,Gaming,Willyrex,15.786301370,9,88.9,61600,739500,40.463667,-3.74922,3900,46200,739500,17200000,47076781,529,17200000,200000,1,13.96,7550,37927409,5024088947,15405000
RU,,Comedy,Cluster 4,Russia,Jun,2012,04-06-2012,TheBrianMaps,TheBrianMaps,Comedy,TheBrianMaps,12.964383562,4,81.9,148700,1800000,61.52401,105.318756,9300,111500,1800000,17100000,144373535,530,17100000,100000,1,4.59,498,107683889,4448334716,37164000
ID,,Entertainment,Cluster 2,Indonesia,Sep,2014,02-09-2014,TRANS TV Official,TRANS TV Official,Entertainment,TRANS TV Official,10.717808219,2,36.3,183200,2200000,-0.789275,113.921327,11500,137400,2200000,17100000,270203917,531,17100000,100000,1,4.69,148225,151509724,9710962528,45811000
US,,Comedy,Cluster 1,United States,Sep,2013,02-09-2013,Liza Koshy,Liza Koshy,Comedy,Liza Koshy,11.717808219,2,88.2,7000,84500,37.09024,-95.712891,440,5300,84500,17100000,328239523,532,17100000,200000,1,14.7,142,270663028,2173106162,1761000
GB,,Music,Cluster 4,United Kingdom,Jul,2008,07-07-2008,Queen Official,Queen Official,Music,Queen Official,16.876712329,7,60,375100,4500000,55.378051,-3.435973,23400,281300,4500000,17000000,66834405,533,17000000,100000,1,3.85,1015,55908316,10847948832,93768000
IN,,Comedy,Cluster 3,India,Mar,2013,14-03-2013,Prajapati News,Prajapati News,Comedy,Prajapati News,12.189041096,14,28.1,30500,366100,20.593684,78.96288,1900,22900,366100,17000000,1366417754,534,17000000,100000,1,5.36,1407,471031528,1001465469,7626000
US,,Music,Cluster 1,United States,May,2009,12-05-2009,LuisFonsiVEVO,LuisFonsiVEVO,Music,LuisFonsiVEVO,16.030136986,12,88.2,199300,2400000,37.09024,-95.712891,12500,149500,2400000,17000000,328239523,536,17000000,200000,1,14.7,97,270663028,14543594822,49817000
IN,,Music,Cluster 3,India,Aug,2011,26-08-2011,Pop Chartbusters,Pop Chartbusters,Music,Pop Chartbusters,13.739726027,26,28.1,291600,3500000,20.593684,78.96288,18200,218700,3500000,16900000,1366417754,537,16900000,200000,1,5.36,2235,471031528,8684010451,72911000
US,,Gaming,Cluster 1,United States,Jul,2006,18-07-2006,Guava Juice,Guava Juice,Gaming,Guava Juice,18.849315068,18,88.2,43600,522600,37.09024,-95.712891,2700,32700,522600,16900000,328239523,538,16900000,200000,1,14.7,1910,270663028,9111000228,10889000
US,,Entertainment,Cluster 1,United States,Mar,2013,19-03-2013,EeOneGuy,EeOneGuy,Entertainment,EeOneGuy,12.175342466,19,88.2,6500,78500,37.09024,-95.712891,409,4900,78500,16900000,328239523,539,16900000,200000,1,14.7,366,270663028,3827906874,1635000
US,,Entertainment,Cluster 1,United States,Dec,2005,16-12-2005,VICE,VICE,Entertainment,VICE,19.435616438,16,88.2,145400,1700000,37.09024,-95.712891,9100,109100,1700000,16900000,328239523,540,16900000,100000,1,14.7,3900,270663028,4609753237,36357000
IN,,Comedy,Cluster 3,India,May,2017,08-05-2017,Aayu and Pihu Show,Aayu and Pihu Show,Comedy,Aayu and Pihu Show,8.035616438,8,28.1,359100,4300000,20.593684,78.96288,22400,269300,4300000,16900000,1366417754,541,16900000,200000,1,5.36,441,471031528,9270331567,89782000
US,,People & Blogs,Cluster 1,United States,Dec,2016,31-12-2016,Danny Fitt,Danny Fitt,People & Blogs,Danny Fitt,8.386301370,31,88.2,1100000,13200000,37.09024,-95.712891,68800,825800,13200000,16900000,328239523,542,16900000,700000,1,14.7,2337,270663028,9544277833,275264000
BR,,Nonprofits & Activism,Cluster 1,Brazil,Apr,2016,10-04-2016,Bispo Bruno Leonardo,Bispo Bruno Leonardo,Nonprofits & Activism,Bispo Bruno Leonardo,9.112328767,10,51.3,598200,7200000,-14.235004,-51.92528,37400,448600,7200000,16900000,212559417,543,16900000,400000,1,12.08,4891,183241641,3523578665,149543000
ID,,Entertainment,Cluster 2,Indonesia,Nov,2019,22-11-2019,Like Nastya IDN,Like Nastya IDN,Entertainment,Like Nastya IDN,5.493150685,22,36.3,171300,2100000,-0.789275,113.921327,10700,128500,2100000,16800000,270203917,547,16800000,100000,1,4.69,502,151509724,7195314800,42836000
BR,,Film & Animation,Cluster 1,Brazil,Apr,2013,02-04-2013,Gato Galactico | GALï¿½ï¿,Gato Galactico | GALï¿½ï¿,Film & Animation,Gato Galactico | GALï¿½ï¿,12.136986301,2,51.3,176500,2100000,-14.235004,-51.92528,11000,132400,2100000,16800000,212559417,548,16800000,100000,1,12.08,1491,183241641,3693798804,44121000
US,,Gaming,Cluster 1,United States,Apr,2009,27-04-2009,CoryxKenshin,CoryxKenshin,Gaming,CoryxKenshin,16.071232877,27,88.2,420500,5000000,37.09024,-95.712891,26300,315300,5000000,16700000,328239523,550,16700000,200000,1,14.7,1693,270663028,7102965621,105114000
US,,Entertainment,Cluster 1,United States,Jul,2012,06-07-2012,With Kids[ï¿½ï¿½ï¿½ï¿½ï,With Kids[ï¿½ï¿½ï¿½ï¿½ï,Entertainment,With Kids[ï¿½ï¿½ï¿½ï¿½ï,12.876712329,6,88.2,182800,2200000,37.09024,-95.712891,11400,137100,2200000,16700000,328239523,551,16700000,100000,1,14.7,920,270663028,8826138204,45698000
US,,Music,Cluster 1,United States,Sep,2010,01-09-2010,Travis Scott,Travis Scott,Music,Travis Scott,14.723287671,1,88.2,150,1800,37.09024,-95.712891,9,113,1800,16700000,328239523,552,16700000,200000,1,14.7,13,270663028,7979736581,37623
MX,,People & Blogs,Cluster 2,Mexico,Aug,2014,28-08-2014,Tu COSMOPOLIS,Tu COSMOPOLIS,People & Blogs,Tu COSMOPOLIS,10.731506849,28,40.2,64600,774700,23.634501,-102.552784,4000,48400,774700,16700000,126014024,553,16700000,200000,1,3.42,8741,102626859,5089284369,16139000
PH,,Others,Cluster 2,Philippines,Jun,2018,01-06-2018,Ivana Alawi,Ivana Alawi,Others,Ivana Alawi,6.969863014,1,35.5,60300,723800,12.879721,121.774017,3800,45200,723800,16600000,108116615,554,16600000,100000,1,2.15,180,50975903,1318442641,15079000
MX,,Entertainment,Cluster 2,Mexico,Dec,2010,07-12-2010,werever2morro,werever2morro,Entertainment,Werever2morro,14.457534247,7,40.2,0,0,23.634501,-102.552784,0,0,0,16600000,126014024,555,16600000,200000,1,3.42,0,102626859,2798273962,71118000
ES,,Howto & Style,Cluster 1,Spain,Apr,2017,02-04-2017,Ideas En 5 Minutos,Ideas En 5 Minutos,Howto & Style,IDEAS EN 5 MINUTOS,8.134246575,2,88.9,262,3100,40.463667,-3.74922,16,196,3100,16600000,47076781,556,16600000,200000,1,13.96,216,37927409,3696973456,65470
IN,,News & Politics,Cluster 3,India,Oct,2013,22-10-2013,NMF News,NMF News,News & Politics,NMF News,11.580821918,22,28.1,236800,2800000,20.593684,78.96288,14800,177600,2800000,16600000,1366417754,557,16600000,100000,1,5.36,112261,471031528,7435180827,59201000
IN,,Entertainment,Cluster 3,India,Sep,2011,29-09-2011,SriBalajiMovies,SriBalajiMovies,Entertainment,SriBalajiMovies,13.646575342,29,28.1,616200,7400000,20.593684,78.96288,38500,462100,7400000,16600000,1366417754,558,16600000,200000,1,5.36,20102,471031528,9439857193,154049000
IN,,Music,Cluster 3,India,Nov,2011,21-11-2011,Lahari Music - TSeries,Lahari Music - TSeries,Music,Lahari Music - TSeries,13.501369863,21,28.1,356000,4300000,20.593684,78.96288,22300,267000,4300000,16600000,1366417754,559,16600000,100000,1,5.36,8976,471031528,11946217860,89012000
DE,,Entertainment,Cluster 4,Germany,May,2021,06-05-2021,Younes Zarou,Younes Zarou,Entertainment,Younes Zarou,4.038356164,6,70.2,2500000,29600000,51.165691,10.451526,154300,1900000,29600000,16600000,83132799,560,16600000,900000,1,3.04,2200,64324835,15278668857,617257000
US,,Entertainment,Cluster 1,United States,Dec,2006,21-12-2006,Jordan Matter,Jordan Matter,Entertainment,Jordan Matter,18.421917808,21,88.2,796100,9600000,37.09024,-95.712891,49800,597100,9600000,16600000,328239523,561,16600000,300000,1,14.7,413,270663028,5819508534,199033000
US,,Entertainment,Cluster 1,United States,Mar,2014,09-03-2014,ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý,Entertainment,ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý,11.202739726,9,88.2,87800,1100000,37.09024,-95.712891,5500,65900,1100000,16500000,328239523,562,16500000,200000,1,14.7,421,270663028,2440934034,21953000
US,,Comedy,Cluster 1,United States,Jul,2011,05-07-2011,FailArmy,FailArmy,Comedy,FailArmy,13.882191781,5,88.2,451900,5400000,37.09024,-95.712891,28200,339000,5400000,16500000,328239523,563,16500000,100000,1,14.7,438,270663028,3037260680,112986000
IN,,News & Politics,Cluster 3,India,Sep,2009,22-09-2009,BBC News Hindi,BBC News Hindi,News & Politics,BBC News Hindi,15.665753425,22,28.1,524800,6300000,20.593684,78.96288,32800,393600,6300000,16500000,1366417754,564,16500000,300000,1,5.36,21243,471031528,7043235131,131202000
US,,Entertainment,Cluster 1,United States,May,2016,31-05-2016,FunFun Toy Doll TV,FunFun Toy Doll TV,Entertainment,FunFun Toy Doll TV,8.972602740,31,88.2,97500,1200000,37.09024,-95.712891,6100,73100,1200000,16500000,328239523,565,16500000,200000,1,14.7,735,270663028,7406207930,24378000
US,,Howto & Style,Cluster 1,United States,Sep,2011,27-09-2011,Sandra Cires Art,Sandra Cires Art,Howto & Style,Sandra Cires Art,13.652054795,27,88.2,72100,865300,37.09024,-95.712891,4500,54100,865300,16400000,328239523,566,16400000,200000,1,14.7,1091,270663028,3955426159,18028000
TH,,Comedy,Cluster 2,Thailand,Jan,2011,24-01-2011,Kaykai Salaider,Kaykai Salaider,Comedy,Kaykai Salaider,14.326027397,24,49.3,37400,448400,15.870032,100.992541,2300,28000,448400,16400000,69625582,567,16400000,200000,1,0.75,428,35294600,4434679706,9341000
US,,Sports,Cluster 1,United States,Mar,2006,04-03-2006,UFC - Ultimate Fighting Championship,UFC - Ultimate Fighting Championship,Sports,UFC - Ultimate Fighting Championship,19.221917808,4,88.2,532800,6400000,37.09024,-95.712891,33300,399600,6400000,16400000,328239523,568,16400000,100000,1,14.7,14662,270663028,7135820721,133208000
TH,,Entertainment,Cluster 2,Thailand,May,2010,17-05-2010,Ch7HD,Ch7HD,Entertainment,Ch7HD,15.016438356,17,49.3,351000,4200000,15.870032,100.992541,21900,263300,4200000,16400000,69625582,569,16400000,100000,1,0.75,56203,35294600,9463244435,87757000
TH,,Entertainment,Cluster 2,Thailand,Sep,2010,13-09-2010,GMMTV OFFICIALï¿½ï¿½,GMMTV OFFICIALï¿½ï¿½,Entertainment,GMMTV OFFICIALï¿½ï¿½,14.690410959,13,49.3,725500,8700000,15.870032,100.992541,45300,544100,8700000,16400000,69625582,572,16400000,200000,1,0.75,23952,35294600,12844432341,181382000
US,,Entertainment,Cluster 1,United States,Jun,2010,19-06-2010,MattStonie,MattStonie,Entertainment,Matt Stonie,14.926027397,19,88.2,119,1400,37.09024,-95.712891,7,89,1400,16300000,328239523,573,16300000,200000,1,14.7,54,270663028,3527627264,29735
US,,Music,Cluster 1,United States,Sep,2007,02-09-2007,Boyce Avenue,Boyce Avenue,Music,Boyce Avenue,17.723287671,2,88.2,115100,1400000,37.09024,-95.712891,7200,86400,1400000,16300000,328239523,574,16300000,200000,1,14.7,490,270663028,6578828147,28787000
US,,Music,Cluster 1,United States,Aug,2015,11-08-2015,Camila Cabello,Camila Cabello,Music,Camila Cabello,9.778082192,11,88.2,170800,2000000,37.09024,-95.712891,10700,128100,2000000,16300000,328239523,575,16300000,100000,1,14.7,80,270663028,6613422635,42704000
GB,,Music,Cluster 4,United Kingdom,Nov,2011,30-11-2011,Little Mix,Little Mix,Music,Little Mix,13.476712329,30,60,154400,1900000,55.378051,-3.435973,9700,115800,1900000,16300000,66834405,576,16300000,200000,1,3.85,278,55908316,7520242626,38604000
GB,,Music,Cluster 4,United Kingdom,Sep,2012,14-09-2012,SAM SMITH,SAM SMITH,Music,SAM SMITH,12.684931507,14,60,343100,4100000,55.378051,-3.435973,21400,257300,4100000,16300000,66834405,577,16300000,200000,1,3.85,230,55908316,10170264839,85778000
US,,Music,Cluster 1,United States,Jul,2006,05-07-2006,Pitbull,Pitbull,Music,Pitbull,18.884931507,5,88.2,352000,4200000,37.09024,-95.712891,22000,264000,4200000,16300000,328239523,578,16300000,200000,1,14.7,352,270663028,12475714382,88004000
IN,,Entertainment,Cluster 3,India,Oct,2011,13-10-2011,Bollywood Classics,Bollywood Classics,Entertainment,Bollywood Classics,13.608219178,13,28.1,605900,7300000,20.593684,78.96288,37900,454400,7300000,16300000,1366417754,579,16300000,300000,1,5.36,1444,471031528,7141825267,151477000
US,,Gaming,Cluster 1,United States,Oct,2013,28-10-2013,Technoblade,Technoblade,Gaming,Technoblade,11.564383562,28,88.2,71800,861300,37.09024,-95.712891,4500,53800,861300,16300000,328239523,580,16300000,200000,1,14.7,989,270663028,1656452554,17944000
GB,,Gaming,Cluster 4,United Kingdom,Jul,2012,26-07-2012,W2S,W2S,Gaming,W2S,12.821917808,26,60,12300,147800,55.378051,-3.435973,770,9200,147800,16300000,66834405,581,16300000,200000,1,3.85,652,55908316,4768370464,3079000
US,,Music,Cluster 1,United States,Nov,2005,18-11-2005,Jennifer Lopez,Jennifer Lopez,Music,Jennifer Lopez,19.512328767,18,88.2,253800,3000000,37.09024,-95.712891,15900,190300,3000000,16200000,328239523,582,16200000,200000,1,14.7,258,270663028,10227242833,63441000
US,,Entertainment,Cluster 1,United States,May,2018,14-05-2018,Kids Play,Kids Play,Entertainment,Kids Play,7.019178082,14,88.2,103600,1200000,37.09024,-95.712891,6500,77700,1200000,16200000,328239523,583,16200000,200000,1,14.7,593,270663028,8091706232,25912000
BR,,Comedy,Cluster 1,Brazil,Jan,2012,16-01-2012,T3ddy,T3ddy,Comedy,T3ddy,13.347945205,16,51.3,132100,1600000,-14.235004,-51.92528,8300,99000,1600000,16200000,212559417,584,16200000,100000,1,12.08,1930,183241641,2990185467,33015000
GB,,Gaming,Cluster 4,United Kingdom,Jan,2011,26-01-2011,JJ Olatunji,JJ Olatunji,Gaming,JJ Olatunji,14.320547945,26,60,111200,1300000,55.378051,-3.435973,7000,83400,1300000,16200000,66834405,585,16200000,100000,1,3.85,1294,55908316,4076692623,27808000
VN,,Music,Cluster 2,Vietnam,Jan,2014,14-01-2014,POPS Kids,POPS Kids,Music,POPS Kids,11.350684932,14,28.5,1000000,12300000,14.058324,108.277199,64200,770200,12300000,16200000,96462106,586,16200000,200000,1,2.01,3943,35332140,9763592867,256733000
TH,,News & Politics,Cluster 2,Thailand,Sep,2010,27-09-2010,Thairath Online,Thairath Online,News & Politics,Thairath Online,14.652054795,27,49.3,899000,10800000,15.870032,100.992541,56200,674300,10800000,16200000,69625582,587,16200000,100000,1,0.75,244899,35294600,14563841315,224756000
SG,,Entertainment,Cluster 4,Singapore,Oct,2005,22-10-2005,LEGO,LEGO,Entertainment,LEGO,19.586301370,22,84.8,468800,5600000,1.352083,103.819836,29300,351600,5600000,16200000,5703569,588,16200000,200000,1,4.11,31889,5703569,20522339099,117209000
US,,People & Blogs,Cluster 1,United States,Sep,2020,12-09-2020,XO TEAM Family,XO TEAM Family,People & Blogs,XO TEAM,4.684931507,12,88.2,152,1800,37.09024,-95.712891,9,114,1800,16200000,328239523,589,16200000,1000,1,14.7,189,270663028,14784781923,37911
ES,,Entertainment,Cluster 1,Spain,May,2006,02-05-2006,Aday Cï¿½ï¿½ï¿½ï¿½ï,Aday Cï¿½ï¿½ï¿½ï¿½ï,Entertainment,AdMe,19.060273973,2,88.9,0.02,0.19,40.463667,-3.74922,0,0.01,0.19,16200000,47076781,590,16200000,200000,1,13.96,10,37927409,4488680903,4
ID,,Entertainment,Cluster 2,Indonesia,Jan,2015,28-01-2015,Dyland PROS,Dyland PROS,Entertainment,Dyland PROS,10.312328767,28,36.3,38500,461700,-0.789275,113.921327,2400,28900,461700,16100000,270203917,592,16100000,200000,1,4.69,2805,151509724,1517638132,9619000
US,,Others,Cluster 1,United States,May,2019,24-05-2019,Vlad and Niki ARA,Vlad and Niki ARA,Others,Vlad and Niki ARA,5.991780822,24,88.2,128000,1500000,37.09024,-95.712891,8000,96000,1500000,16100000,328239523,594,16100000,100000,1,14.7,510,270663028,7399296005,32011000
BR,,People & Blogs,Cluster 1,Brazil,Jul,2017,21-07-2017,Canal IN,Canal IN,People & Blogs,Canal IN,7.832876712,21,51.3,55200,662500,-14.235004,-51.92528,3500,41400,662500,16100000,212559417,595,16100000,200000,1,12.08,723,183241641,2687443643,13802000
US,,Entertainment,Cluster 1,United States,Jul,2015,15-07-2015,Daily Dose Of Internet,Daily Dose Of Internet,Entertainment,Daily Dose Of Internet,9.852054795,15,88.2,1600000,19200000,37.09024,-95.712891,100000,1200000,19200000,16100000,328239523,597,16100000,300000,1,14.7,671,270663028,6872702790,399807000
FR,,Music,Cluster 4,France,Nov,2006,20-11-2006,Fitdance Academy,Fitdance Academy,Music,FitDance,18.506849315,20,65.6,3,37,46.227638,2.213749,0.2,2,37,16100000,67059887,598,16100000,4,1,8.43,41,54123364,7126210721,780
SE,,Others,Cluster 4,Sweden,Nov,2020,21-11-2020,Panda Shorts,Panda Shorts,Others,Panda Shorts,4.493150685,21,67,1900000,23000000,60.128161,18.643501,119600,1400000,23000000,16100000,10285453,599,16100000,3000000,1,6.48,667,9021165,7155736006,478528000
US,,Entertainment,Cluster 1,United States,Apr,2008,22-04-2008,Disney Junior,Disney Junior,Entertainment,Disney Junior,17.084931507,22,88.2,1100000,12800000,37.09024,-95.712891,66800,801400,12800000,16100000,328239523,600,16100000,300000,1,14.7,4045,270663028,15812009296,267131000
MX,,Entertainment,Cluster 2,Mexico,Sep,2008,03-09-2008,larosadeguadalupe,larosadeguadalupe,Entertainment,La Rosa de Guadalupe,16.717808219,3,40.2,0,0,23.634501,-102.552784,0,0,0,16100000,126014024,601,16100000,200000,1,3.42,0,102626859,9642146451,71118000
IN,,Education,Cluster 3,India,Jul,2014,26-07-2014,wifistudy by Unacademy,wifistudy by Unacademy,Education,wifistudy,10.821917808,26,28.1,57100,685800,20.593684,78.96288,3600,42900,685800,16000000,1366417754,603,16000000,200000,1,5.36,52144,471031528,3018032423,14287000
MX,,Gaming,Cluster 2,Mexico,May,2015,25-05-2015,Antrax,Antrax,Gaming,Antrax,9.991780822,25,40.2,18800,225500,23.634501,-102.552784,1200,14100,225500,16000000,126014024,604,16000000,200000,1,3.42,687,102626859,3029872908,4698000
MX,,Film & Animation,Cluster 2,Mexico,Sep,2017,07-09-2017,Totoy kids - Espaï¿½ï,Totoy kids - Espaï¿½ï,Film & Animation,Totoy kids - Espaï¿½ï,7.701369863,7,40.2,449600,5400000,23.634501,-102.552784,28100,337200,5400000,16000000,126014024,606,16000000,200000,1,3.42,344,102626859,5997599089,112393000
RU,,People & Blogs,Cluster 4,Russia,May,2017,27-05-2017,Kung Fu Padla,Kung Fu Padla,People & Blogs,ýýýýýýýýýý,7.983561644,27,81.9,0,0,61.52401,105.318756,0,0,0,15900000,144373535,607,15900000,10,1,4.59,0,107683889,1845329502,71118000
US,,Music,Cluster 1,United States,Jun,2016,09-06-2016,DopeLyrics,DopeLyrics,Music,DopeLyrics,8.947945205,9,88.2,39700,475900,37.09024,-95.712891,2500,29700,475900,15900000,328239523,608,15900000,200000,1,14.7,2035,270663028,9962188084,9915000
US,,Howto & Style,Cluster 1,United States,Feb,2006,14-02-2006,jeffreestar,jeffreestar,Howto & Style,jeffreestar,19.271232877,14,88.2,8000,96300,37.09024,-95.712891,502,6000,96300,15900000,328239523,609,15900000,200000,1,14.7,433,270663028,2609358468,2006000
AR,,Gaming,Cluster 4,Argentina,Sep,2014,08-09-2014,Lyna,Lyna,Gaming,Lyna,10.701369863,8,90,256300,3100000,-38.416097,-63.616672,16000,192300,3100000,15900000,44938712,610,15900000,200000,1,9.79,4906,41339571,6534326412,64085000
BR,,Music,Cluster 1,Brazil,Jan,2010,18-01-2010,MK MUSIC,MK MUSIC,Music,MK MUSIC,15.342465753,18,51.3,545600,6500000,-14.235004,-51.92528,34100,409200,6500000,15900000,212559417,611,15900000,100000,1,12.08,5105,183241641,9198986881,136388000
US,,Gaming,Cluster 1,United States,May,2016,01-05-2016,Unspeakable,Unspeakable,Gaming,Unspeakable,9.054794521,1,88.2,659600,7900000,37.09024,-95.712891,41200,494700,7900000,15900000,328239523,612,15900000,200000,1,14.7,796,270663028,9052367553,164895000
CO,,Music,Cluster 4,Colombia,Jul,2010,29-07-2010,Camilo,Camilo,Music,Camilo,14.816438356,29,55.3,239600,2900000,4.570868,-74.297333,15000,179700,2900000,15900000,50339443,613,15900000,100000,1,9.71,132,40827302,6802382479,59890000
IN,,Education,Cluster 3,India,Dec,2016,13-12-2016,Dear Sir,Dear Sir,Education,Dear Sir,8.435616438,13,28.1,96200,1200000,20.593684,78.96288,6000,72200,1200000,15800000,1366417754,614,15800000,200000,1,5.36,633,471031528,1349288771,24056000
IN,,News & Politics,Cluster 3,India,Oct,2007,26-10-2007,Narendra Modi,Narendra Modi,News & Politics,Narendra Modi,17.575342466,26,28.1,743900,8900000,20.593684,78.96288,46500,557900,8900000,15800000,1366417754,615,15800000,700000,1,5.36,20679,471031528,3392918989,185969000
ID,,People & Blogs,Cluster 2,Indonesia,Jan,2017,18-01-2017,Arif muhammad,Arif muhammad,People & Blogs,Arif muhammad,8.336986301,18,36.3,287500,3400000,-0.789275,113.921327,18000,215600,3400000,15800000,270203917,616,15800000,100000,1,4.69,542,151509724,4122634467,71870000
US,,Film & Animation,Cluster 1,United States,Apr,2011,01-04-2011,Rotten Tomatoes Trailers,Rotten Tomatoes Trailers,Film & Animation,Rotten Tomatoes Trailers,14.142465753,1,88.2,103000,1200000,37.09024,-95.712891,6400,77200,1200000,15800000,328239523,617,15800000,100000,1,14.7,10441,270663028,13116313599,25738000
IN,,Film & Animation,Cluster 3,India,Mar,2012,23-03-2012,Volga Video,Volga Video,Film & Animation,Volga Video,13.164383562,23,28.1,205300,2500000,20.593684,78.96288,12800,153900,2500000,15700000,1366417754,618,15700000,200000,1,5.36,16874,471031528,9787697838,51315000
IN,,Music,Cluster 3,India,Jul,2017,08-07-2017,DM - Desi Melodies,DM - Desi Melodies,Music,DM - Desi Melodies,7.868493151,8,28.1,567400,6800000,20.593684,78.96288,35500,425500,6800000,15700000,1366417754,619,15700000,300000,1,5.36,79,471031528,5914071870,141842000
SG,,Others,Cluster 4,Singapore,Dec,2019,03-12-2019,My Family,My Family,Others,MY FAMILY,5.463013699,3,84.8,3800,45100,1.352083,103.819836,235,2800,45100,15700000,5703569,620,15700000,800,1,4.11,150,5703569,6153495609,939647
IN,,Music,Cluster 3,India,Jul,2014,18-07-2014,Team Films Bhojpuri,Team Films Bhojpuri,Music,Team Films Bhojpuri,10.843835616,18,28.1,123000,1500000,20.593684,78.96288,7700,92200,1500000,15700000,1366417754,621,15700000,200000,1,5.36,19703,471031528,6626563508,30744000
IN,,Music,Cluster 3,India,May,2014,20-05-2014,Zee Music Classic,Zee Music Classic,Music,Zee Music Classic,11.005479452,20,28.1,345800,4100000,20.593684,78.96288,21600,259300,4100000,15700000,1366417754,622,15700000,100000,1,5.36,1640,471031528,5558051295,86450000
US,,Entertainment,Cluster 1,United States,Oct,2016,03-10-2016,Prime Video India,Prime Video India,Entertainment,Prime Video India,8.630136986,3,88.2,1300000,16100000,37.09024,-95.712891,83800,1000000,16100000,15700000,328239523,623,15700000,1200000,1,14.7,7090,270663028,8696631898,335111000
MX,,Entertainment,Cluster 2,Mexico,Sep,2010,22-09-2010,Caeli YT,Caeli YT,Entertainment,Caeli YT,14.665753425,22,40.2,0,0,23.634501,-102.552784,0,0,0,15600000,126014024,624,15600000,200000,1,3.42,483,102626859,1511794214,62551000
CA,,Science & Technology,Cluster 4,Canada,Nov,2008,25-11-2008,Linus Tech Tips,Linus Tech Tips,Science & Technology,Linus Tech Tips,16.490410959,25,68.9,352900,4200000,56.130366,-106.346771,22100,264700,4200000,15600000,36991981,626,15600000,100000,1,5.56,6542,30628482,7172386509,88224000
BR,,Entertainment,Cluster 1,Brazil,May,2010,09-05-2010,Juliana Baltar,Juliana Baltar,Entertainment,Juliana Baltar,15.038356164,9,51.3,224900,2700000,-14.235004,-51.92528,14100,168700,2700000,15600000,212559417,627,15600000,100000,1,12.08,2019,183241641,3869457097,56218000
US,,People & Blogs,Cluster 1,United States,Dec,2018,13-12-2018,5-Minute Crafts FAMILY,5-Minute Crafts FAMILY,People & Blogs,5-Minute Crafts FAMILY,6.435616438,13,88.2,109500,1300000,37.09024,-95.712891,6800,82100,1300000,15600000,328239523,628,15600000,200000,1,14.7,4245,270663028,6165757696,27382000
MX,,People & Blogs,Cluster 2,Mexico,Jan,2017,13-01-2017,Blippi Espaï¿½ï,Blippi Espaï¿½ï,People & Blogs,Blippi Espaï¿½ï,8.350684932,13,40.2,360000,4300000,23.634501,-102.552784,22500,270000,4300000,15500000,126014024,629,15500000,100000,1,3.42,598,102626859,8984089026,90012000
